"run","a","delta_pop","gamma_pop","km0scale_pop","offset_pop","omega_delta","omega_gamma","omega_km0scale","omega_offset","omega_tBegin","tBegin_pop"
"1706368528_85787"," 0.031607216","-0.735618732","-6.992648164"," 6.217034993"," 2.079306464"," 1.085400292"," 2.697294116"," 0.063548906"," 0.001909119"," 0.342939946","-0.167544220"
"1706589002_65885"," 0.031606126","-0.776317794","-6.954304629"," 6.216803121"," 2.079129312"," 1.185938193"," 2.759096997"," 0.062619480"," 0.001133309"," 0.342913234","-0.167546481"
"1706521020_88189"," 0.031725655","-0.784522371","-6.950985304"," 6.217485678"," 2.079048891"," 1.208801401"," 2.781092256"," 0.076317248"," 0.001472793"," 0.342958963","-0.167520974"
"1706425612_02369"," 0.031606155","-0.981465262","-6.773750824"," 6.216790263"," 2.079133579"," 1.600023703"," 3.055211624"," 0.062852855"," 0.001570954"," 0.342923879","-0.167570940"
"1706516148_56497"," 0.03161100","-1.18812765","-6.59808416"," 6.21656714"," 2.07921943"," 1.87166195"," 3.34268666"," 0.06306951"," 0.00150915"," 0.34292404","-0.16760676"
"1706467614_70277"," 0.031650831","-1.071815706","-6.699933844"," 6.216482340"," 2.079285393"," 1.720069404"," 3.200838140"," 0.063129144"," 0.001608323"," 0.342918114","-0.167617874"
"1706573780_4423"," 0.031653515","-1.203000779","-6.572994829"," 6.216892840"," 2.079043934"," 1.902737038"," 3.343675231"," 0.066383363"," 0.002140091"," 0.342927366","-0.167575559"
"1674616592_76218"," 0.031645205","-0.942779638","-6.827739143"," 6.216848028"," 2.079020797"," 1.509306268"," 3.045301020"," 0.067719924"," 0.003223778"," 0.342952737","-0.167595960"
"1674579319_25959"," 0.031786566","-0.750353949","-6.986544835"," 6.217477354"," 2.079224908"," 1.126798401"," 2.730684720"," 0.076817153"," 0.002234611"," 0.342972261","-0.167526473"
"1706560453_9273"," 0.031611153","-1.252499781","-6.526375185"," 6.216537219"," 2.079210528"," 1.950522478"," 3.405059839"," 0.062890586"," 0.001493539"," 0.342913899","-0.167608474"
