"X","run_1706206076_41173","run_1703163605_31637","run_1703924901_67844","run_1703671381_02647","run_1702291085_27364","run_1703682241_31777","run_1703606116_52543","run_1703168765_74481","run_1703808444_66179","run_1703168765_29399","run_1703850686_73043","run_1704876132_86188","run_1702892516_485","run_1703162829_05945","run_1703379700_73382","run_1703163604_4765","run_1704040010_36676","run_1703892400_77143","run_1703668584_29054","run_1704876141_59057","run_1703869540_79076","run_1702059867_53786","run_1703400251_19353","run_1703162829_06139","run_1703168765_92347","run_1702664681_58336","run_1703609226_86413","run_1703424484_03185","run_1700838053_61601","run_1703599626_99992","run_1702335922_37296","run_1703380667_53379","run_1702059868_24226","run_1704876139_03197","run_1700838053_63081","run_1703855491_08328","run_1704876138_78848","run_1703367678_97749","run_1703168765_34755","run_1703162829_93393"
"a",2.67778793188332e-05,2.5524456299116e-05,2.56174453941981e-05,2.59566536228313e-05,2.60423247212287e-05,2.61514472069873e-05,2.57951280396914e-05,2.6102693427986e-05,2.62053088815714e-05,3.21696712970929e-05,2.79610577112152e-05,2.60354211367935e-05,2.73205316659599e-05,2.61859889740712e-05,2.60264963691961e-05,3.26386344724877e-05,2.5951652053383e-05,2.65080756433264e-05,2.64157812382314e-05,2.7278719802883e-05,3.00169898120502e-05,2.69111041817351e-05,2.77849805864192e-05,2.73024090886315e-05,3.08228195242262e-05,2.8458228347316e-05,3.54909782287837e-05,2.82798142471263e-05,3.11854585606974e-05,2.89045988700327e-05,3.52380926801622e-05,2.96539970023963e-05,3.0397560419275e-05,3.16504249007781e-05,3.35278691944077e-05,3.20689514779325e-05,3.45898336135901e-05,3.66179723642342e-05,3.53074366470701e-05,4.37424668310387e-05
"delta1m0_pop",0.0354695297224592,0.0392892599148373,0.0405114632569435,0.0416187790876141,0.0379247011770217,0.0414492564027109,0.0425414316250426,0.0502532545543288,0.0638466202818115,0.0440136044093485,0.0394001810825252,0.0464552100226104,0.0367185026909801,0.0373492336500953,0.0401404615862927,0.0394772400278366,0.0424246191564591,0.0391004096461642,0.0417096649275957,0.0488184435051993,0.0417770267112094,0.0421038250315942,0.0502558566177075,0.0431834204042963,0.0439059994675182,0.0436886990446668,0.0412184327453486,0.049713695153858,0.0536835324071277,0.0597581172602563,0.0444982109842819,0.0472711133606477,0.0582977354032801,0.0547026660064805,0.0428426784029796,0.0550406635300811,0.0545008914017645,0.0563345319238054,0.0533231753338356,0.0576334290560126
"delta2_pop",0.0300021841186221,0.113231971219647,0.0441584870214023,0.0414224991348622,0.0497841455234373,0.0690822674543507,0.0555533112206487,0.0443427993799596,0.0323533955835679,0.0763135832098219,0.074329381089167,0.0641687413347734,0.0474137138157896,0.0513703539389063,0.0516491628972987,0.0563538436394414,0.0989133796570869,0.0460487416365183,0.0890820020984299,0.0609886146049042,0.11991779424756,0.0885946912658519,0.0540348114467091,0.0703011415229495,0.0682783351097147,0.0444551258312135,0.0595470927293328,0.037534955043042,0.063445624892175,0.0543053593943595,0.0475692883749592,0.071015633973139,0.0682792853002471,0.0492606087153614,0.0616644245119843,0.0406145800757789,0.0513554552910188,0.0422142577981468,0.0360745217040017,0.0354123294470192
"e0_m0_pop",0.0218682964489061,0.0298911536672422,0.0283786167730719,0.031958621811555,0.0214887029785949,0.0300306286661453,0.0189699683456992,0.0253029959571212,0.0340184525900537,0.0259662552245078,0.0264853172173734,0.0267704616699151,0.0232291395314967,0.0219704858981182,0.0295382447260921,0.0226967450256756,0.0300814458380525,0.0225377341416534,0.0290722332884645,0.0238223483290382,0.0244698459840148,0.0290950431153151,0.0264907998473611,0.0279153362765766,0.0231405552247857,0.0290605642419648,0.0233403011659634,0.0271548882817924,0.0259594743235788,0.0239501643216002,0.0245462278843564,0.031463048653449,0.0299366095465172,0.030073222312569,0.0205777745149526,0.0275940710737497,0.0272090336015504,0.0267526396006307,0.0199803566074366,0.030917197873932
"gamma_pop",0.0411147254804424,0.0311602307706851,0.0367306494261736,0.0370582405309536,0.0430218415669313,0.038875171182881,0.0351346517532337,0.0341650487652152,0.0295241825256055,0.0366191704414829,0.0427391310992317,0.0419526220683953,0.0339453540911858,0.0420101266644249,0.0398080768710046,0.0481700294417389,0.0381620241748622,0.0357676854837886,0.0374385049061404,0.0343048851978359,0.0322921495216318,0.0383549350985249,0.0437772805991388,0.0362707264055273,0.0447334128176733,0.031403410550071,0.0358332600867068,0.0365892522005486,0.0423330133295403,0.0411359408979808,0.0358835890431082,0.0373897657025863,0.0457908516321592,0.041083212248917,0.044377216557359,0.0314468398825166,0.035038484704742,0.0402489245619791,0.0376592336431939,0.0233948780868089
"k1m0_pop",0.0213894726106176,0.0230750730873516,0.0220814569210753,0.0228375383466612,0.0254081893082461,0.0286403776095479,0.0317103278785797,0.033468768711416,0.0304913082722398,0.0250321274975489,0.0260382696413176,0.0340149348783894,0.021018778546079,0.0232461474095766,0.0233039865452603,0.0282716028902436,0.0308297334306917,0.0197991543902101,0.0280658825718825,0.0365219677410185,0.030139977762373,0.0293773075134001,0.032989475752522,0.025816808623033,0.0304273911746573,0.0229207758775196,0.0299523084656507,0.024841114955698,0.037789185226311,0.0367613216461375,0.0265824190516872,0.0270325872126051,0.0385561430136626,0.0321381755913333,0.0360586347301764,0.026851266947315,0.0337272163984847,0.0322535697461095,0.0335552538686897,0.0293421450229001
"k2_pop",0.0220254766138155,0.0299999675946704,0.0214373687767366,0.0191924639475532,0.0280214553217183,0.0353914149653275,0.0341598561294843,0.0333647421061302,0.0296152550685924,0.0283545703187346,0.0297390089156615,0.0411947544867191,0.0223230663201547,0.0251380135257913,0.0242094053104209,0.0344490312830226,0.0295672746294137,0.0224384763027459,0.0292673838645226,0.0354072196978963,0.0349319826621235,0.0300035749906555,0.0381952403008998,0.0272995887018665,0.0314579837199513,0.02351348225819,0.0362631185245704,0.023984567598455,0.0431500770309827,0.0444668725663128,0.0256426730832002,0.0283933614943505,0.0376976981775753,0.0287861933020559,0.0407119236533376,0.0202532391991976,0.0236756132950733,0.0288912801684967,0.0263711649943872,0.0243077447130731
"k2m0scale_pop",0.0153579320506237,0.018813408850563,0.0159276171730964,0.0157462290010223,0.0171626033909384,0.0180048509528576,0.0191945155122481,0.0213608142948745,0.0220014231178169,0.0182307609251191,0.0177801123023171,0.0209850238400119,0.0159244632009812,0.0160660796075837,0.0162515264801363,0.0180778875423299,0.0173796274037005,0.015128117231145,0.0165279155307148,0.0226539769666056,0.0177852375523763,0.0168055228574672,0.020405687257179,0.0159564987962786,0.0187642407040027,0.0157272079572268,0.0172998946490926,0.0170650104015066,0.02193054802613,0.0240364955171805,0.0161130299566413,0.0174155868170797,0.021988192647942,0.0186002553973925,0.016054876913484,0.0165813632321989,0.0179065312762551,0.0180788766273661,0.0178696405052832,0.0169295480461297
"offset_pop",0.00476132643874847,0.00475919830118172,0.00475770589048302,0.00476976751780509,0.00475763777219061,0.00476046086503468,0.00475837222816431,0.00475818728751355,0.00475933993429029,0.00476052670424409,0.00476280384359066,0.00475966074080746,0.00476303263797544,0.00475748141478655,0.0047586811141074,0.00476307362770188,0.0047564740152156,0.00476472964777944,0.00476048145638532,0.00476299573454194,0.00478876008903532,0.004772593105712,0.00476608794098425,0.00476304920069676,0.00477400835927678,0.00476793533574551,0.00477685074775348,0.00476759558470807,0.00479050072881967,0.00477916038861356,0.00476262367887331,0.00477514550557478,0.00478423427881168,0.00477962907086564,0.00481528994701253,0.00479430545875589,0.00480499261164034,0.00480136811581108,0.00478376180349239,0.0048225522707297
"omega_delta1m0",0.026012766169243,0.028266405224796,0.0289652267336355,0.0298334446039533,0.0287220054176518,0.0309970959866359,0.0316241709178049,0.0381162742331634,0.0489437239876624,0.0316237876768296,0.028544471944195,0.0352523283321496,0.0268361649303468,0.0275999773462317,0.0295414993233004,0.0301150231408354,0.0306183120496108,0.0281464736093904,0.030130947622133,0.0363317834880015,0.0305071592651809,0.0299889546699815,0.0381547926129634,0.0313196545324067,0.0317672080322377,0.0313578289369158,0.030259910622613,0.0357648401805951,0.0391447679807535,0.0445988682747221,0.0315233242520112,0.0341651902563396,0.0425385684002922,0.0403510853433371,0.0316699905036771,0.0396635656580284,0.0396893253258529,0.0408421036656257,0.038297628227339,0.0414553508660427
